"State","Actual2005","Actual2006","Actual2007","Actual2008","Actual2009","Actual2010","Actual2011","Actual2012","Total"
"Alabama","$1,000,000","$1,313,659","$1,767,375","$2,199,717","$2,738,816","$2,738,816","$2,994,316","$2,556,869","$17,309,568"
"Alaska","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,554,670","$933,567","$8,478,237"
"Arizona","$1,000,000","$1,557,644","$2,228,590","$2,896,828","$3,612,384","$3,612,384","$3,733,355","$3,372,404","$22,013,589"
"Arkansas","$1,000,000","$990,000","$1,027,338","$1,297,202","$1,622,447","$1,622,447","$1,911,273","$1,514,664","$10,985,371"
"California","$1,000,000","$11,039,310","$14,832,295","$18,066,131","$22,580,275","$22,580,275","$25,976,518","$21,080,209","$137,155,013"
"Colorado","$1,000,000","$1,254,403","$1,679,463","$2,119,802","$2,659,832","$2,659,832","$3,022,085","$2,483,132","$16,878,549"
"Connecticut","$1,000,000","$998,325","$1,332,573","$1,617,319","$2,017,420","$2,017,420","$2,256,128","$1,883,398","$13,122,583"
"Delaware","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,221,763","$933,567","$8,145,330"
"Dist. of Col.","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,216,940","$933,567","$8,140,507"
"Florida","$1,000,000","$4,494,278","$6,133,717","$7,763,038","$9,725,359","$9,725,359","$10,318,307","$9,079,278","$58,239,336"
"Georgia","$1,000,000","$2,578,305","$3,499,747","$4,487,050","$5,631,065","$5,631,065","$6,027,492","$5,256,979","$34,111,703"
"Hawaii","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,199,101","$933,567","$8,122,668"
"Idaho","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,110,115","$933,567","$8,033,682"
"Illinois","$1,000,000","$3,729,568","$4,934,826","$6,049,154","$7,553,851","$7,553,851","$9,136,550","$7,052,029","$47,009,829"
"Indiana","$1,000,000","$1,798,399","$2,408,772","$2,994,241","$3,806,398","$3,806,398","$4,031,643","$3,553,529","$23,399,380"
"Iowa","$1,000,000","$990,000","$1,084,775","$1,339,951","$1,693,614","$1,693,614","$2,036,529","$1,581,103","$11,419,586"
"Kansas","$1,000,000","$990,000","$1,064,595","$1,313,282","$1,646,633","$1,646,633","$1,832,913","$1,537,243","$11,031,299"
"Kentucky","$1,000,000","$1,127,212","$1,512,032","$1,885,289","$2,356,219","$2,356,219","$2,629,632","$2,199,689","$15,066,292"
"Louisiana","$1,000,000","$1,404,776","$1,864,469","$2,106,118","$2,588,373","$2,588,373","$3,029,270","$2,416,421","$16,997,800"
"Maine","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,263,056","$933,567","$8,186,623"
"Maryland","$1,000,000","$1,576,594","$2,092,753","$2,514,307","$3,147,630","$3,147,630","$3,493,898","$2,938,525","$19,911,337"
"Massachusetts","$1,000,000","$1,752,904","$2,293,605","$2,771,492","$3,455,640","$3,455,640","$3,804,878","$3,226,073","$21,760,232"
"Michigan","$1,000,000","$3,009,800","$4,005,253","$4,811,697","$5,992,442","$5,992,442","$6,510,950","$5,594,348","$36,916,932"
"Minnesota","$1,000,000","$1,441,060","$1,897,225","$2,324,104","$2,906,875","$2,906,875","$3,383,120","$2,713,764","$18,573,023"
"Mississippi","$1,000,000","$990,000","$1,196,855","$1,471,512","$1,847,720","$1,847,720","$2,154,335","$1,724,971","$12,233,113"
"Missouri","$1,000,000","$1,620,703","$2,146,792","$2,646,419","$3,317,763","$3,317,763","$3,851,417","$3,097,355","$20,998,212"
"Montana","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,232,668","$933,567","$8,156,235"
"Nebraska","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,023,931","$1,023,931","$1,163,591","$955,909","$8,157,362"
"Nevada","$1,000,000","$990,000","$1,000,000","$1,152,500","$1,456,403","$1,456,403","$1,968,615","$1,359,650","$10,383,571"
"New Hampshire","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,083,906","$933,567","$8,007,473"
"New Jersey","$1,000,000","$2,399,056","$3,330,370","$4,087,785","$5,066,315","$5,066,315","$5,614,581","$4,729,747","$31,294,169"
"New Mexico","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,122,276","$1,122,276","$1,238,543","$1,047,720","$8,520,815"
"New York","$1,000,000","$5,114,558","$6,894,554","$8,280,423","$10,322,012","$10,322,012","$11,475,634","$9,636,294","$63,045,487"
"North Carolina","$1,000,000","$2,333,556","$3,175,243","$4,050,525","$5,034,374","$5,034,374","$5,364,591","$4,699,927","$30,692,590"
"North Dakota","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,151,184","$933,567","$8,074,751"
"Ohio","$1,000,000","$3,295,093","$4,339,214","$5,299,892","$6,577,188","$6,577,188","$7,193,040","$6,140,248","$40,421,863"
"Oklahoma","$1,000,000","$1,010,647","$1,332,691","$1,664,295","$2,096,583","$2,096,583","$2,522,040","$1,957,302","$13,680,141"
"Oregon","$1,000,000","$990,000","$1,242,468","$1,543,621","$1,963,103","$1,963,103","$2,482,114","$1,832,689","$13,017,098"
"Pennsylvania","$1,000,000","$3,345,128","$4,430,549","$5,436,148","$6,720,350","$6,720,350","$7,327,747","$6,273,900","$41,254,172"
"Rhode Island","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,273,270","$933,567","$8,196,837"
"South Carolina","$1,000,000","$1,186,047","$1,584,924","$1,948,124","$2,433,802","$2,433,802","$2,647,613","$2,272,118","$15,506,430"
"South Dakota","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,211,627","$933,567","$8,135,194"
"Tennessee","$1,000,000","$1,596,222","$2,158,074","$2,700,824","$3,404,845","$3,404,845","$3,810,719","$3,178,652","$21,254,181"
"Texas","$1,000,000","$7,009,094","$9,408,067","$12,114,991","$15,219,488","$15,219,488","$15,887,285","$14,208,418","$90,066,831"
"Utah","$1,000,000","$990,000","$1,063,690","$1,365,995","$1,718,219","$1,718,219","$2,039,844","$1,604,073","$11,500,040"
"Vermont","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,437,342","$933,567","$8,360,909"
"Virginia","$1,000,000","$2,024,830","$2,717,436","$3,370,807","$4,290,965","$4,290,965","$4,750,810","$4,005,905","$26,451,718"
"Washington","$1,000,000","$1,694,515","$2,271,034","$2,809,776","$3,576,977","$3,576,977","$4,200,581","$3,339,349","$22,469,209"
"West Virginia","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,167,130","$933,567","$8,090,697"
"Wisconsin","$1,000,000","$1,554,314","$2,048,636","$2,499,641","$3,072,413","$3,072,413","$3,411,016","$2,868,305","$19,526,738"
"Wyoming","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,083,988","$933,567","$8,007,555"
"Total","$51,000,000","$96,030,000","$122,000,000","$147,000,000","$180,000,000","$180,000,000","$ 202,439,733","$168,042,127","$1,146,511,860"
